[2011/07/18 Mon 10:41:21] Check Leaks ===================================================>
Memory Stay ------> 0x102bc540 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b8580 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b45c0 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102ac500 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102a85e8 (size  25, <Unknown>:0   )
Memory Stay ------> 0x102a0508 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102985f8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102945d8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x102905b8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1028c598 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10284538 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10284510 (size  30, <Unknown>:0   )
Memory Stay ------> 0x1027c500 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x102785c0 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10278598 (size  31, <Unknown>:0   )
Memory Stay ------> 0x102705a0 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10270580 (size  22, <Unknown>:0   )
Memory Stay ------> 0x102645f8 (size  47, <Unknown>:0   )
Memory Stay ------> 0x10124570 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10124540 (size  39, <Unknown>:0   )
Memory Stay ------> 0x10120548 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10120520 (size  32, <Unknown>:0   )
Memory Stay ------> 0x1011c588 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10114570 (size  20, <Unknown>:0   )
Memory Stay ------> 0x101105c0 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1010c588 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10108530 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10108500 (size  39, <Unknown>:0   )
Memory Stay ------> 0x101005e8 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x101005b8 (size  43, <Unknown>:0   )
